system,reference,SD-SJ energy,SD-SJ error,SD-SJBF energy,SD-SJBF error,MD-SJ energy,MD-SJ error,MD-SJ nCSF,MD-SJBF energy,MD-SJBF error,MD-SJBF nCSF
Be,Brown,-14.6311,0.0001,-14.6426,0.0001,-14.6663,4e-05,20,-14.66716,2e-05,20
B,Brown,-24.6056,0.0002,-24.6377,0.0001,-24.65055,6e-05,20,-24.65254,4e-05,20
C,Brown,-37.8147,0.0001,-37.8315,0.0001,-37.8383,0.0001,20,-37.84199,7e-05,20
Li2,Morales,,,,,-14.9941,0.0002,526,,,
Be,Morales,,,,,-14.66688,4e-05,160,,,
B,Morales,,,,,-24.65248,6e-05,396,,,
C,Morales,,,,,-37.8423,0.0001,651,,,
Li2,Toulouse,-14.98255,5e-05,,,-14.99229,5e-05,8,,,
Be,Toulouse,-14.64972,5e-05,,,-14.66668,5e-05,2,,,
B,Toulouse,-24.62936,5e-05,,,-24.64409,5e-05,2,,,
C,Toulouse,-37.81705,6e-05,,,-37.82607,5e-05,2,,,
H2,Casalengo,-1.17355,8e-05,,,,,,,,
LiH,Casalengo,-8.06475,2e-05,,,,,,,,
Li2,Rios,-14.9751,0.0001,-14.9803,0.0001,,,,,,
C,Rios,-37.8064,0.0003,-37.8259,0.0003,,,,,,
Be,Seth,,,,,,,,-14.66719,1e-05,50
B,Seth,,,,,,,,-24.65337,4e-05,50
C,Seth,,,,,,,,-37.84377,7e-05,50
