system,ndet,energy,err
B2,1,-49.384490966796875,0.0006918405258333609
B2,3,-49.391510009765625,0.0005854973029230618
B2,10,-49.40050506591797,0.0005872720794298309
B2,30,-49.40497589111328,0.0005367289702352958
B2,100,-49.405738830566406,0.0005251739859446176
Be2,1,-29.32085418701172,0.0017475285540799585
Be2,3,-29.322460174560547,0.0008947142499597338
Be2,10,-29.33042335510254,0.0005800681278223869
Be2,30,-29.33091163635254,0.0007574114230112031
Be2,100,-29.33523941040039,0.00042444262272348175
C2,1,-75.86968231201172,0.0009471990050594542
C2,3,-75.88301849365234,0.0008724856910776004
C2,10,-75.88954162597656,0.0008592638387651154
C2,30,-75.89463806152344,0.0008144097214437272
C2,100,-75.90389251708984,0.0008132267923479308
Li2,1,-14.990767478942871,0.0008099226840160727
Li2,3,-14.992685317993164,0.000521084301486153
Li2,10,-14.993356704711914,0.0004910148246448381
Li2,30,-14.994331359863281,0.00023373063250765468
Li2,100,-14.994258880615234,0.0001770932266992378
