batch,state,idx,energy,err,n
250,ground,0,-154.5945168522644,0.0016502436891400107,200.0
250,ground,1,-154.59732306655883,0.00157548772397683,200.0
250,ground,2,-154.59675865699768,0.0016096211391362304,200.0
250,ground,3,-154.59992174743653,0.0016094063780658198,200.0
250,ground,4,-154.59995656879425,0.0016151116618276116,200.0
250,ground,5,-154.60136997619628,0.0016724707601558169,200.0
250,ground,6,-154.6003409715271,0.0016220424580160608,200.0
250,ground,7,-154.60400579162598,0.0016094155504168728,200.0
250,ground,8,-154.6000737171936,0.0016483759925430821,200.0
250,ground,9,-154.59798998680114,0.001597892552953476,200.0
250,transition,0,-154.58453911972046,0.0016379696239738322,200.0
250,transition,1,-154.5827523551941,0.0016319460846360681,200.0
250,transition,2,-154.5825081906128,0.0016258946161611487,200.0
250,transition,3,-154.58361935455324,0.0016701109907730825,200.0
250,transition,4,-154.58489866241456,0.001588927515646949,200.0
250,transition,5,-154.58440554252624,0.001629250562660978,200.0
250,transition,6,-154.58108651863097,0.001709499861390844,200.0
250,transition,8,-154.58465326782226,0.0016694931740331251,200.0
375,ground,0,-154.6128514225006,0.0015657749893854419,200.0
375,ground,1,-154.61533519317626,0.001554630161004233,200.0
375,ground,2,-154.6153692422104,0.0016561807974710973,200.0
375,ground,3,-154.61828458633423,0.001576824002468512,200.0
375,ground,4,-154.61787123634338,0.0015678171743985908,200.0
375,ground,7,-154.6138740472412,0.0015832892730590438,200.0
375,ground,8,-154.61731778198242,0.0016112169061022143,200.0
375,ground,9,-154.61791463279724,0.0015469483163363183,200.0
375,transition,0,-154.60674368499755,0.0014858932600963215,200.0
375,transition,1,-154.6032912097931,0.0017015359374340127,200.0
375,transition,2,-154.60092877471925,0.0015367291550691892,200.0
375,transition,3,-154.60330611549378,0.0015053723411074243,200.0
375,transition,5,-154.60453766799927,0.0015925783422782724,200.0
375,transition,6,-154.60419970298767,0.0016039754320695664,200.0
375,transition,7,-154.60492300460817,0.001543455976996159,200.0
375,transition,8,-154.60520191833496,0.001488354772453674,200.0
375,transition,9,-154.60178650489806,0.001523993693455232,200.0
